,employee_id,first_name,last_name,gender,region,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime_bonus,birthdate,termination_date
23,00-13804,Karen,Jensen,Female,Christchurch,Cathedral Square,2019-04-15,Finance,Financial Analyst,Bachelor,66000,Satisfactory,No,1973-10-09,2021-04-25
24,00-65255,Megan,Burr,Female,Auckland,Manukau,2018-08-05,Operations,Operations Analyst,Bachelor,57000,Good,Yes,1978-01-30,2022-04-19
25,00-89415,graham,Cook,Male,Christchurch,Cathedral Square,2022-10-26,IT,System Administrator,Bachelor,112000,Good,No,1976-12-12,2023-04-24
26,00-15383,David,Terry,Male,Auckland,Auckland City,2019-01-13,Operations,Logistics Coordinator,Bachelor,69000,Good,No,1975-02-19,2020-10-16
27,00-67091,James,Wills,Male,Wellington,Wellington City,2023-01-26,Finance,Financial Analyst,PhD,70000,Good,No,1983-12-27,2023-07-25
28,00-11330,Tyler,MacDonald,Male,Auckland,Albany,2020-12-06,Customer Service,Customer Service Representative,High School,62000,Good,Yes,1992-01-10,2021-06-04
29,00-56112,Daniel,Moran,Male,Auckland,New Lynn,2022-07-13,Customer Service,Customer Service Representative,High School,56000,Good,Yes,1982-08-31,2023-01-09
30,00-45954,Thomas,Black,Male,Auckland,Albany,2016-06-27,Sales,Sales Specialist,Bachelor,75000,Good,No,2002-11-21,2024-11-24
31,00-29555,Cameron,Turner,Male,Wellington,Lower Hutt,2023-10-17,Operations,Inventory Specialist,Bachelor,61000,Good,No,1982-01-26,2024-04-14
32,00-44687,Dominic,Hope,Male,Christchurch,Cathedral Square,2022-08-16,Customer Service,Customer Service Representative,High School,58000,Excellent,Yes,1983-03-14,2023-02-12
33,00-81376,Mark,Wilton,Male,Auckland,Manukau,2017-05-21,IT,IT Support Specialist,High School,65000,Excellent,No,1985-04-12,2021-07-14
34,00-13390,Tui,Cook,Female,Wellington,Porirua,2017-07-17,Finance,Financial Analyst,PhD,107000,Satisfactory,No,1989-12-30,2023-09-28
35,00-31079,Phillip,Cox,Male,Christchurch,Colombo Street,2018-12-01,Operations,Logistics Coordinator,Bachelor,72000,Good,No,1986-12-06,2021-02-25
36,00-45003,Mary,Mitchell,Female,Wellington,Porirua,2020-11-03,Customer Service,Customer Service Representative,High School,60000,Excellent,No,1977-05-13,2021-05-02
37,00-73242,Martin,Payne,Male,Auckland,Auckland City,2025-05-30,Operations,Inventory Specialist,Bachelor,70000,Satisfactory,No,1992-03-24,2025-11-26
38,00-73483,Tangaroa,Fisher,Male,Auckland,Albany,2019-07-25,Finance,Accountant,Bachelor,84000,Good,No,1977-09-09,2020-01-21
39,00-23154,  Lily  ,Neal,Female,Auckland,Albany,2024-01-05,Operations,Logistics Coordinator,Bachelor,66000,Satisfactory,Yes,1961-12-18,2024-07-03
40,00-90931,Brenda,Payne,Female,Wellington,Porirua,2016-12-09,IT,System Administrator,Master,93000,Good,No,1980-07-21,2022-07-11
41,00-33600,Emma,Wilkinson,Female,Wellington,Lower Hutt,2017-09-06,Sales,Sales Representative,Bachelor,64000,Good,Yes,1988-03-29,2018-03-05
42,00-49599,Frances,Harrison,Female,Auckland,New Lynn,2017-03-03,Sales,Sales Specialist,Bachelor,78000,Good,Yes,2001-04-17,2021-07-01
43,00-34920,Vanessa,Fowler,Female,Auckland,Albany,2022-12-07,Operations,Operations Analyst,Bachelor,72000,Satisfactory,No,1987-04-12,2023-06-05
44,00-73156,Wendy,Parkes,Female,Wellington,Porirua,2025-10-23,IT,System Administrator,Master,104000,Good,Yes,1984-04-05,2026-04-21
45,00-58689,Suzanne,Gray,Female,Auckland,New Lynn,2017-12-05,Operations,Operations Analyst,Bachelor,58000,Satisfactory,No,1986-05-23,2020-09-09
46,00-69459,Sarah,Parsons,Female,Wellington,Porirua,2019-07-17,Operations,Logistics Coordinator,Bachelor,54000,Good,Yes,1973-01-17,2020-01-13
47,00-17936,Charlotte,Griffiths,Female,Wellington,Porirua,2019-10-24,Sales,Sales Representative,Bachelor,72000,Excellent,No,1989-06-20,2022-12-19
48,00-80807,Vanessa,Bell,Female,Auckland,Auckland City,2018-12-25,IT,IT Support Specialist,High School,55000,Good,Yes,1974-10-17,2019-06-23
49,00-96363,Aaron,Tapp,Male,Auckland,Manukau,2020-05-05,Customer Service,Help Desk Technician,High School,74000,Satisfactory,No,1977-04-11,2020-11-01
50,00-76263,Brent,West,Male,Auckland,New Lynn,2022-05-21,IT,System Administrator,Master,78000,Satisfactory,No,2004-10-24,2022-11-17
52,00-24184,David,Green,Male,Auckland,Auckland City,2019-08-09,Finance,Financial Analyst,Bachelor,85000,Excellent,No,1984-06-11,2022-02-05
53,00-62531,Benjamin,Gibb,Male,Christchurch,Cathedral Square,2016-07-07,Finance,Accountant,Bachelor,91000,Satisfactory,No,1976-03-02,2021-01-30
55,00-43491,Bruce,Christiansen,Male,Auckland,Manukau,2018-07-04,Operations,Inventory Specialist,High School,61000,Good,Yes,1974-08-20,2021-06-27
56,00-47947,Cheryl,Gibb,Female,Christchurch,Colombo Street,2017-07-24,Operations,Inventory Specialist,Bachelor,55000,Good,No,1976-08-12,2024-07-04
57,00-55793,Jillian,Ramsay,Female,Wellington,Lower Hutt,2019-03-24,Sales,Sales Consultant,Master,101000,Satisfactory,No,1976-09-06,2021-10-29
58,00-92210,Rachel,McFarlane,Female,Christchurch,Cathedral Square,2018-09-25,Sales,Sales Specialist,Master,68000,Satisfactory,No,1994-11-14,2021-02-12
59,00-15376,Grace,Cameron,Female,Wellington,Porirua,2020-09-17,Operations,Logistics Coordinator,Bachelor,60000,Excellent,No,2004-08-19,2021-07-13
60,00-47079,Jeffrey,Satherley,Male,Christchurch,Colombo Street,2019-07-21,Operations,Logistics Coordinator,Bachelor,67000,Good,Yes,1985-08-30,2020-11-06
62,00-48770,Lydia,Wells,Female,Auckland,Auckland City,2023-03-31,Operations,Logistics Coordinator,Bachelor,56000,Good,No,1996-03-21,2023-09-27
64,00-20993,David,Peters,Male,Wellington,Wellington City,2023-12-18,Marketing,Content Creator,High School,58000,Satisfactory,No,1991-12-01,2024-06-15
66,00-91633,NATHAN,Baker,Male,Wellington,Porirua,2020-03-24,Operations,Logistics Coordinator,Bachelor,68000,Satisfactory,Yes,1971-10-08,2020-09-20
67,00-76535,Paul,Atkinson,Male,Christchurch,Cathedral Square,2021-12-09,Operations,Inventory Specialist,High School,64000,Good,No,1988-03-17,2023-10-29
68,00-99742,Jonathan,Harper,Male,Wellington,Lower Hutt,2020-10-31,Operations,Logistics Coordinator,Bachelor,69000,Good,No,1999-11-19,2021-04-29
69,00-95948,Jessica,Crawford,Female,Auckland,Albany,2018-02-06,IT,System Administrator,Master,76000,Good,Yes,1995-12-19,2020-07-11
70,00-50173,Jason,Scott,Male,Auckland,New Lynn,2020-06-13,Marketing,Content Creator,Bachelor,59000,Good,No,1998-11-10,2020-12-10
71,00-89635,Shaun,Perry,Male,Auckland,New Lynn,2022-01-22,Customer Service,Help Desk Technician,Bachelor,59000,Good,No,1992-04-08,2022-07-21
72,00-34385,Hana,Johansen,Female,Auckland,Auckland City,2020-02-08,Finance,Accounts Payable Specialist,Bachelor,57000,Satisfactory,Yes,1982-01-02,2024-09-12
73,00-57381,Paul,Taylor,Male,Christchurch,Cathedral Square,2020-11-06,Sales,Sales Representative,Bachelor,62000,Good,No,2000-12-29,2024-01-15
74,00-19720,David,Hadfield,Male,Wellington,Porirua,2020-03-14,Operations,Operations Analyst,Bachelor,84000,Good,No,1988-10-28,2023-09-23
75,00-20336,Carolyn,Wilkinson,Female,Christchurch,Colombo Street,2018-03-13,HR,HR Assistant,High School,58000,Satisfactory,No,1997-04-01,2022-11-05
76,00-95344,David,Murphy,Male,Christchurch,Colombo Street,2017-12-25,Customer Service,Support Specialist,Bachelor,67000,Good,No,1965-12-12,2024-01-01
77,00-55268,Samantha,Williams,Female,Christchurch,Cathedral Square,2025-11-29,Operations,Inventory Specialist,Bachelor,60000,Satisfactory,No,1988-02-07,2026-05-28
78,00-71186,Andrea,Newman,Female,Auckland,Auckland City,2020-07-28,Sales,Sales Specialist,PhD,63000,Satisfactory,Yes,1990-04-12,2021-01-24
79,00-62505,Wendy,Potter,Female,Wellington,Lower Hutt,2016-12-25,Sales,Sales Consultant,Bachelor,90000,Good,No,1984-07-31,2022-01-23
80,00-15276,Eden,Avery,Female,Auckland,Manukau,2016-06-06,Customer Service,Help Desk Technician,High School,68000,Excellent,No,2000-03-09,2021-07-17
81,00-12180,Debra,Fuller,Female,Auckland,Auckland City,2019-06-05,IT,Software Developer,Bachelor,93000,Good,No,1992-09-26,2019-12-02
82,00-12482,Christopher,Connolly,Male,Auckland,Manukau,2020-01-01,Operations,Logistics Coordinator,Bachelor,69000,Satisfactory,No,2000-04-25,2020-06-29
83,00-99226,Donald,Skinner,Male,Wellington,Lower Hutt,2022-11-01,Finance,Accountant,Bachelor,74000,Excellent,Yes,1984-07-05,2023-04-30
84,00-55237,Evie,Tait,Female,Wellington,Wellington City,2025-09-28,Sales,Sales Specialist,PhD,97000,Good,No,1995-01-14,2026-03-27
85,00-40518,Tia,Toms,Female,Wellington,Wellington City,2016-08-03,Sales,Sales Representative,Bachelor,60000,Needs Improvement,No,1997-12-06,2018-07-01
86,00-33040,Kathleen,Beattie,Female,Wellington,Porirua,2024-03-14,Customer Service,Support Specialist,High School,57000,Good,Yes,1992-07-10,2024-09-10
87,00-70150,Wendy,Wallace,Female,Wellington,Porirua,2022-08-13,IT,Software Developer,Bachelor,86000,Satisfactory,No,1970-11-05,2023-02-09
89,00-69634,Lucy,Taylor,Female,Wellington,Lower Hutt,2023-07-15,IT,Software Developer,Bachelor,105000,Excellent,Yes,1973-07-02,2024-04-13
90,00-31566,Kieran,  Allerby  ,Male,Auckland,Auckland City,2018-01-23,IT,Software Developer,Bachelor,91000,Needs Improvement,Yes,1975-01-06,2019-07-08
91,00-38560,Anna,Whittaker,Female,Auckland,Albany,2021-03-14,Customer Service,Customer Service Representative,Bachelor,65000,Needs Improvement,Yes,1987-03-09,2021-09-10
92,00-80687,Anthony,Brown,Male,Wellington,Wellington City,2017-12-01,Operations,Logistics Coordinator,Bachelor,62000,Satisfactory,No,1974-08-31,2021-01-11
93,00-12050,Bronwyn,Baker,Female,Auckland,Auckland City,2017-12-12,Sales,Sales Representative,Bachelor,74000,Satisfactory,No,1977-08-10,2018-06-10
94,00-28777,Mark,  Wong  ,Male,Auckland,Auckland City,2025-01-16,IT,Software Developer,Bachelor,103000,Good,No,1990-08-15,2025-07-15
95,00-80507,Jessica,Gore,Female,Wellington,Wellington City,2020-08-14,Sales,Sales Representative,Bachelor,61000,Good,No,1982-01-28,2021-02-10
96,00-89026,Glenn,Rose,Male,Christchurch,Cathedral Square,2016-04-11,Operations,Operations Analyst,Bachelor,69000,Satisfactory,Yes,1976-11-26,2021-07-08
97,00-71112,Paul,Cameron,Male,Auckland,New Lynn,2020-04-02,Operations,Inventory Specialist,High School,64000,Satisfactory,Yes,1986-03-26,2024-01-04
98,00-35715,Caitlyn,Roberts,Female,Wellington,Wellington City,2018-09-08,Sales,Sales Representative,Bachelor,64000,Good,No,1987-09-15,2022-10-23
99,00-10836,Grace,Stevens,Female,Wellington,Lower Hutt,2019-10-19,IT,IT Support Specialist,Bachelor,53000,Good,No,1970-05-14,2024-05-13
100,00-12246,Adam,Waller,Male,Auckland,Albany,2020-08-29,Finance,Accountant,Bachelor,100000,Satisfactory,Yes,1970-10-08,2023-07-20
101,00-95182,TANGAROA,Kirk,Male,Auckland,New Lynn,2023-01-29,Operations,Inventory Specialist,High School,61000,Excellent,No,1997-06-08,2023-07-28
102,00-46749,Joshua,Wilkinson,Male,Wellington,Wellington City,2024-02-21,Customer Service,Customer Service Representative,High School,63000,Good,No,1978-05-06,2024-08-19
103,00-67290,Sophie,Shannon,Female,Wellington,Porirua,2017-12-08,Operations,Logistics Coordinator,Bachelor,63000,Good,No,1984-12-30,2021-08-29
104,00-45123,Evie,Jensen,Female,Auckland,Albany,2017-06-20,Sales,Sales Representative,Bachelor,62000,Good,Yes,1993-08-13,2020-10-02
105,00-88240,Nicola,Muir,Female,Wellington,Porirua,2021-08-26,Customer Service,Help Desk Technician,Bachelor,70000,Good,Yes,1981-01-18,2022-02-22
106,00-20082,Samantha,Rossiter,Female,Auckland,Auckland City,2019-07-25,Sales,Sales Specialist,Bachelor,91000,Needs Improvement,No,1967-01-18,2022-06-14
107,00-36326,Ryan,Smith,Male,Christchurch,Colombo Street,2020-04-26,Operations,Logistics Coordinator,Bachelor,58000,Good,No,2002-02-07,2020-10-23
108,00-48185,Ava,Orr,Female,Auckland,Albany,2023-12-08,Marketing,Marketing Coordinator,Bachelor,75000,Satisfactory,No,1970-10-12,2024-06-05
110,00-59036,Christopher,Hudson,Male,Auckland,Auckland City,2019-04-20,Customer Service,Customer Service Representative,Bachelor,62000,Excellent,No,1991-11-16,2019-10-17
111,00-25084,Paul,Holmes,Male,Wellington,Wellington City,2016-03-20,Sales,Sales Specialist,PhD,68000,Good,Yes,1995-05-09,2024-08-18
112,00-66302,Seth,Hyde,Male,Auckland,Manukau,2019-07-16,Operations,Inventory Specialist,Bachelor,69000,Good,Yes,1970-07-08,2020-01-12
113,00-70012,Susan,West,Female,Wellington,Lower Hutt,2022-11-25,Marketing,Content Creator,High School,64000,Satisfactory,No,1970-12-03,2023-10-25
114,00-32706,Megan,Taylor,Female,Auckland,Albany,2021-11-19,Sales,Sales Specialist,Bachelor,58000,Satisfactory,No,1993-02-22,2022-05-18
115,00-38905,Abigail,Murphy,Female,Auckland,Manukau,2018-10-27,HR,HR Coordinator,Bachelor,58000,Excellent,Yes,1994-03-05,2021-03-23
116,00-95678,Hemi,Stewart,Male,Wellington,Wellington City,2023-03-04,Sales,Sales Specialist,Master,81000,Good,Yes,1998-01-17,2023-08-31
117,00-88231,Liam,Hubbard,Male,Auckland,Albany,2020-06-15,Sales,Sales Specialist,Bachelor,94000,Good,No,1967-02-14,2020-12-12
118,00-28634,Brent,Hope,Male,Wellington,Porirua,2021-12-09,Customer Service,Customer Service Representative,Bachelor,73000,Satisfactory,No,1992-12-23,2022-06-07
119,00-18300,charles,Robb,Male,Auckland,Auckland City,2023-01-14,Marketing,SEO Specialist,High School,68000,Good,No,1964-11-21,2023-11-20
120,00-27290,Mark,O'Keefe,Male,Auckland,Albany,2024-02-27,Operations,Logistics Coordinator,Bachelor,65000,Satisfactory,Yes,1972-08-06,2024-08-25
121,00-68335,Amy,Wilton,Female,Wellington,Lower Hutt,2015-05-22,IT,Software Developer,Master,87000,Good,Yes,2000-03-19,2022-07-16
122,00-56030,Rosemary,Beard,Female,Auckland,Albany,2023-12-01,Sales,Sales Specialist,Master,63000,Good,No,1979-10-15,2024-05-29
123,00-89638,Hunter,Jones,Male,Auckland,Manukau,2018-09-22,Customer Service,Support Specialist,Bachelor,63000,Good,No,1971-02-17,2022-03-04
124,00-84498,Ava,Parker,Female,Wellington,Lower Hutt,2019-10-30,Operations,Logistics Coordinator,Bachelor,62000,Good,No,1982-10-16,2020-04-27
125,00-90746,Sophie,Higgins,Female,Wellington,Wellington City,2017-08-30,Customer Service,Support Specialist,Bachelor,67000,Satisfactory,No,1974-05-08,2022-08-12
126,00-17212,Timothy,Simonsen,Male,Christchurch,Colombo Street,2018-04-02,Marketing,Content Creator,Bachelor,60000,Good,No,2004-05-01,2021-09-20
127,00-85582,Zara,Jeffries,Female,Christchurch,Colombo Street,2022-11-11,Marketing,Marketing Manager,Master,104000,Good,Yes,1996-03-31,2023-05-10
128,00-14635,James,Gray,Male,Wellington,Lower Hutt,2021-03-11,Sales,Sales Representative,Bachelor,64000,Excellent,No,1975-03-16,2024-03-01
129,00-21322,Grant,Bush,Male,Auckland,Auckland City,2021-12-28,IT,Software Developer,Bachelor,95000,Satisfactory,No,1989-10-23,2022-06-26
130,00-96154,Nathan,Perry,Male,Auckland,Manukau,2019-10-13,Sales,Sales Specialist,PhD,63000,Good,No,1984-11-01,2020-11-06
131,00-61688,Emma,Gledhill,Female,Auckland,Manukau,2016-11-01,Customer Service,Help Desk Technician,Bachelor,69000,Satisfactory,No,1972-08-15,2017-04-30
132,00-71086,Janet,Judd,Female,Auckland,New Lynn,2018-01-16,Sales,Sales Consultant,Bachelor,69000,Excellent,No,1989-10-09,2018-07-15
133,00-49169,Darryl,Gee,Male,Christchurch,Colombo Street,2018-11-14,Operations,Inventory Specialist,High School,56000,Satisfactory,No,1997-10-13,2019-05-13
134,00-19828,Harry,Aldridge,Male,Auckland,New Lynn,2016-11-14,Sales,Sales Specialist,PhD,82000,Good,No,1993-04-17,2021-10-28
135,00-29481,Dianne,Leslie,Female,Auckland,Auckland City,2016-01-10,Operations,Inventory Specialist,High School,60000,Satisfactory,No,1986-07-11,2024-11-28
136,00-84141,Jennifer,Morton,Female,Auckland,Auckland City,2020-04-18,Marketing,Marketing Coordinator,Bachelor,63000,Satisfactory,Yes,1986-06-04,2021-02-04
137,00-60911,William,Howell,Male,Christchurch,Colombo Street,2019-04-19,Operations,Logistics Coordinator,Bachelor,68000,Good,Yes,1968-12-30,2019-10-16
138,00-10089,Kelly,Phillips,Female,Auckland,Albany,2018-09-21,Operations,Logistics Coordinator,Bachelor,54000,Needs Improvement,No,1993-12-27,2020-05-22
139,00-73858,Lachlan,Orchard,Male,Wellington,Lower Hutt,2022-01-11,Operations,Inventory Specialist,High School,61000,Good,No,1988-02-28,2022-10-20
140,00-75035,William,Thomas,Male,Christchurch,Cathedral Square,2017-03-11,Operations,Operations Analyst,Bachelor,90000,Good,No,1994-12-21,2024-01-02
141,00-65004,Awhina,Field,Female,Wellington,Wellington City,2025-01-15,Sales,Sales Specialist,Bachelor,66000,Satisfactory,No,1998-07-26,2025-07-14
142,00-22203,Jayden,Mitchell,Male,Wellington,Porirua,2018-10-10,Operations,Operations Analyst,Bachelor,61000,Good,No,1990-06-05,2024-02-04
143,00-17144,Joanne,baldwin,Female,Wellington,Wellington City,2019-07-18,Operations,Inventory Specialist,Bachelor,63000,Satisfactory,No,1962-08-22,2022-12-01
144,00-59996,Steven,Thomas,Male,Auckland,Albany,2019-03-15,Sales,Sales Specialist,Bachelor,87000,Good,No,1993-03-01,2020-08-27
145,00-72236,Patrick,Russell,Male,Auckland,Auckland City,2021-01-01,Marketing,Content Creator,Bachelor,67000,Satisfactory,Yes,1975-11-20,2021-06-30
146,00-92211,Sally,Rowe,Female,Wellington,Lower Hutt,2017-09-24,Operations,Inventory Specialist,Bachelor,61000,Good,No,1997-02-08,2021-01-26
147,00-23845,Pauline,O'Connell,Female,Christchurch,Colombo Street,2021-09-18,Marketing,Marketing Coordinator,Bachelor,57000,Good,No,2004-09-30,2023-04-11
148,00-58816,  Joanne  ,Ward,Female,Auckland,Manukau,2016-09-14,Operations,Inventory Specialist,Bachelor,61000,Good,No,1977-05-09,2018-03-11
149,00-30836,Max,Arnold,Male,Wellington,Lower Hutt,2016-09-14,Sales,Sales Representative,Bachelor,80000,Satisfactory,No,1977-05-16,2018-09-13
150,00-74066,Paul,Jefferies,Male,Auckland,Manukau,2021-04-27,Operations,Operations Analyst,Master,65000,Good,No,1978-05-25,2021-10-24
152,00-96816,Gabrielle,Jamieson,Female,Christchurch,Cathedral Square,2025-02-19,Customer Service,Help Desk Technician,High School,59000,Good,No,1994-11-09,2025-08-18
154,00-43902,Stuart,O'Donnell,Male,Auckland,Manukau,2023-08-28,Sales,Sales Consultant,PhD,77000,Satisfactory,No,1997-06-21,2024-02-24
155,00-35499,James,Wong,Male,Wellington,Wellington City,2020-11-19,Operations,Operations Analyst,Bachelor,84000,Satisfactory,No,1993-05-29,2023-01-13
156,00-32099,Felix,Smith,Male,Auckland,New Lynn,2021-06-16,Operations,Inventory Specialist,High School,55000,Satisfactory,No,1980-04-28,2023-06-26
157,00-55134,Manaia,Tait,Female,Auckland,New Lynn,2018-05-06,Sales,Sales Representative,Bachelor,78000,Satisfactory,Yes,1982-05-24,2018-11-02
158,00-27197,Jeremy,Francis,Male,Wellington,Lower Hutt,2017-03-24,Customer Service,Help Desk Technician,Bachelor,86000,Satisfactory,No,1985-11-30,2022-12-08
159,00-30070,Rochelle,carr,Female,Auckland,Albany,2017-11-06,Sales,Sales Specialist,PhD,89000,Satisfactory,No,1976-01-19,2021-12-20
160,00-78569,Mitchell,Bush,Male,Wellington,Wellington City,2025-04-21,Customer Service,Help Desk Technician,Bachelor,87000,Satisfactory,No,1984-10-21,2025-10-18
162,00-54921,Vanessa,Scott,Female,Wellington,Wellington City,2017-04-02,Customer Service,Help Desk Technician,High School,81000,Good,No,1982-04-05,2023-08-27
163,00-57002,Diane,Joe,Female,Wellington,Lower Hutt,2022-03-19,Sales,Sales Representative,Bachelor,54000,Good,No,1984-02-08,2022-09-15
164,00-96732,Andrew,Moore,Male,Auckland,New Lynn,2023-07-04,HR,HR Assistant,High School,65000,Satisfactory,Yes,1999-12-31,2023-12-31
165,00-40801,Richard,Watt,Male,Christchurch,Cathedral Square,2016-06-25,Customer Service,Support Specialist,High School,64000,Good,No,1988-03-11,2023-01-26
166,00-54676,Michael,Day,Male,Wellington,Lower Hutt,2019-03-17,Operations,Operations Analyst,Bachelor,87000,Good,No,2000-10-14,2022-02-13
167,00-31516,Jacob,O'Connell,Male,Wellington,Lower Hutt,2020-06-04,Operations,Inventory Specialist,High School,65000,Needs Improvement,No,1965-09-10,2020-12-01
168,00-75382,Michael,Jensen,Male,Wellington,Porirua,2015-01-03,Operations,Operations Analyst,Bachelor,73000,Satisfactory,No,1980-11-20,2018-12-10
169,00-54939,Shane,Rickard,Male,Auckland,Albany,2025-12-10,IT,System Administrator,Bachelor,103000,Satisfactory,No,1993-10-14,2026-06-08
170,00-81105,Joanna,Mitchell,Female,Christchurch,Cathedral Square,2022-03-10,Operations,Logistics Coordinator,Bachelor,63000,Good,No,1996-04-12,2022-09-06
171,00-99573,Nicola,Watkins,Female,Christchurch,Cathedral Square,2018-06-30,Customer Service,Customer Service Representative,Bachelor,65000,Satisfactory,No,1970-07-05,2022-03-10
172,00-82368,DAVID,Jones,Male,Wellington,Porirua,2016-11-25,Operations,Inventory Specialist,Bachelor,66000,Good,No,1996-11-30,2021-12-24
173,00-46583,Carol,Campbell,Female,Christchurch,Colombo Street,2021-06-30,Operations,Operations Analyst,Bachelor,68000,Good,No,1980-04-10,2024-07-16
174,00-18936,Kora,Donaldson,Female,Auckland,Manukau,2023-08-20,Sales,Sales Representative,Bachelor,63000,Good,Yes,1997-06-20,2024-02-16
175,00-91412,Phillip,Oliver,Male,Christchurch,Colombo Street,2017-06-21,Customer Service,Help Desk Technician,Bachelor,95000,Good,No,1986-04-22,2017-12-18
176,00-80513,Paul,Andrew,Male,Auckland,Albany,2020-07-15,IT,IT Support Specialist,High School,64000,Good,No,1987-05-30,2021-01-11
177,00-85361,Terry,McEwen,Male,Wellington,Porirua,2023-06-23,Sales,Sales Consultant,PhD,83000,Good,No,1971-12-21,2023-12-20
179,00-15475,Rachael,Ferguson,Female,Wellington,Lower Hutt,2015-11-23,IT,IT Support Specialist,Bachelor,57000,Good,Yes,1997-09-20,2024-06-20
180,00-81939,Raewyn,Collis,Female,Auckland,Albany,2020-07-21,Sales,Sales Specialist,Master,69000,Excellent,No,1987-07-21,2021-08-07
181,00-50065,Elizabeth,Fuller,Female,Auckland,Auckland City,2022-06-20,IT,Software Developer,Master,81000,Satisfactory,No,1989-07-31,2022-12-17
182,00-89511,Faith,Williams,Female,Wellington,Lower Hutt,2017-04-16,IT,IT Support Specialist,High School,60000,Good,No,1962-05-03,2023-12-02
183,00-57948,Summer,Graham,Female,Christchurch,Colombo Street,2019-02-01,Sales,Sales Specialist,Master,82000,Satisfactory,No,1978-11-30,2021-11-04
184,00-57028,David,Martin,Male,Auckland,Albany,2016-09-26,IT,Software Developer,Bachelor,110000,Good,No,1989-11-24,2019-07-25
