employee_id,first_name,last_name,gender,region,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime_bonus,birthdate,termination_date
00-19720,David,Hadfield,Male,Wellington,Porirua,2020-03-14,Operations,Operations Analyst,Bachelor,84000.0,Good,No,1988-10-28,2023-09-23
00-20336,Carolyn,Wilkinson,Female,Christchurch,Colombo Street,2018-03-13,HR,HR Assistant,High School,58000.0,Satisfactory,No,1997-04-01,2022-11-05
00-95344,David,Murphy,Male,Christchurch,Colombo Street,2017-12-25,Customer Service,Support Specialist,Bachelor,67000.0,Good,No,1965-12-12,2024-01-01
00-55268,Samantha,Williams,Female,Christchurch,Cathedral Square,2025-11-29,Operations,Inventory Specialist,Bachelor,60000.0,Satisfactory,No,1988-02-07,2026-05-28
00-71186,Andrea,Newman,Female,Auckland,Auckland City,2020-07-28,Sales,Sales Specialist,PhD,63000.0,Satisfactory,Yes,1990-04-12,2021-01-24
00-62505,Wendy,Potter,Female,Wellington,Lower Hutt,2016-12-25,Sales,Sales Consultant,Bachelor,90000.0,Good,No,1984-07-31,2022-01-23
00-15276,Eden,Avery,Female,Auckland,Manukau,2016-06-06,Customer Service,Help Desk Technician,High School,68000.0,Excellent,No,2000-03-09,2021-07-17
00-12180,Debra,Fuller,Female,Auckland,Auckland City,2019-06-05,IT,Software Developer,Bachelor,93000.0,Good,No,1992-09-26,2019-12-02
00-12482,Christopher,Connolly,Male,Auckland,  Manukau  ,2020-01-01,Operations,Logistics Coordinator,Bachelor,69000.0,Satisfactory,No,2000-04-25,2020-06-29
00-99226,Donald,Skinner,Male,Wellington,Lower Hutt,2022-11-01,Finance,Accountant,Bachelor,74000.0,Excellent,Yes,1984-07-05,2023-04-30
00-55237,Evie,Tait,Female,Wellington,Wellington City,2025-09-28,Sales,Sales Specialist,PhD,97000.0,Good,No,1995-01-14,2026-03-27
00-40518,Tia,Toms,Female,Wellington,Wellington City,2016-08-03,Sales,Sales Representative,Bachelor,60000.0,Needs Improvement,No,1997-12-06,2018-07-01
00-33040,Kathleen,Beattie,Female,Wellington,Porirua,2024-03-14,Customer Service,Support Specialist,High School,57000.0,Good,Yes,1992-07-10,2024-09-10
00-70150,Wendy,Wallace,Female,Wellington,Porirua,2022-08-13,IT,Software Developer,Bachelor,86000.0,Satisfactory,No,1970-11-05,2023-02-09
00-44995,Angela,Bush,Female,Wellington,LowerpHutt,2025-05-02,Sales,Sales Representative,Bachelor,,Satisfactory,No,1997-04-17,2025-10-29
00-69634,Lucy,Taylor,Female,Wellington,Lower Hutt,2023-07-15,IT,Software Developer,Bachelor,105000.0,Excellent,Yes,1973-07-02,2024-04-13
00-31566,Kieran,  Allerby  ,Male,Auckland,  Auckland City  ,2018-01-23,IT,Software Developer,Bachelor,91000.0,Needs Improvement,Yes,1975-01-06,2019-07-08
00-38560,Anna,Whittaker,Female,Auckland,Albany,2021-03-14,Customer Service,Customer Service Representative,Bachelor,65000.0,Needs Improvement,Yes,1987-03-09,2021-09-10
00-80687,Anthony,Brown,Male,Wellington,Wellington City,2017-12-01,Operations,Logistics Coordinator,Bachelor,62000.0,Satisfactory,No,1974-08-31,2021-01-11
00-12050,Bronwyn,Baker,Female,Auckland,Auckland City,2017-12-12,Sales,  Sales Representative  ,Bachelor,74000.0,Satisfactory,No,1977-08-10,2018-06-10
00-28777,Mark,  Wong  ,Male,Auckland,  Auckland City  ,2025-01-16,IT,Software Developer,Bachelor,103000.0,Good,No,1990-08-15,2025-07-15
00-80507,Jessica,Gore,Female,Wellington,Wellington City,2020-08-14,Sales,Sales Representative,Bachelor,61000.0,Good,No,1982-01-28,2021-02-10
00-89026,Glenn,Rose,Male,Christchurch,Cathedral Square,2016-04-11,Operations,Operations Analyst,Bachelor,69000.0,Satisfactory,Yes,1976-11-26,2021-07-08
00-71112,Paul,Cameron,Male,Auckland,New Lynn,2020-04-02,Operations,Inventory Specialist,High School,64000.0,Satisfactory,Yes,1986-03-26,2024-01-04
00-35715,Caitlyn,Roberts,Female,Wellington,Wellington City,2018-09-08,Sales,Sales Representative,Bachelor,64000.0,Good,No,1987-09-15,2022-10-23
00-10836,Grace,Stevens,Female,Wellington,Lower Hutt,2019-10-19,IT,IT Support Specialist,Bachelor,53000.0,Good,No,1970-05-14,2024-05-13
00-12246,Adam,Waller,Male,Auckland,Albany,2020-08-29,Finance,Accountant,Bachelor,100000.0,Satisfactory,Yes,1970-10-08,2023-07-20
00-95182,TANGAROA,Kirk,Male,Auckland,New Lynn,2023-01-29,Operations,Inventory Specialist,High School,61000.0,Excellent,No,1997-06-08,2023-07-28
00-46749,Joshua,Wilkinson,Male,Wellington,Wellington City,2024-02-21,Customer Service,Customer Service Representative,High School,63000.0,Good,No,1978-05-06,2024-08-19
00-67290,Sophie,Shannon,Female,Wellington,Porirua,2017-12-08,Operations,Logistics Coordinator,Bachelor,63000.0,Good,No,1984-12-30,2021-08-29
00-45123,Evie,Jensen,Female,Auckland,Albany,2017-06-20,Sales,Sales Representative,Bachelor,62000.0,Good,Yes,1993-08-13,2020-10-02
00-88240,Nicola,Muir,Female,Wellington,Porirua,2021-08-26,Customer Service,Help Desk Technician,Bachelor,70000.0,Good,Yes,1981-01-18,2022-02-22
00-20082,Samantha,Rossiter,Female,Auckland,Auckland City,2019-07-25,Sales,Sales Specialist,Bachelor,91000.0,Needs Improvement,No,1967-01-18,2022-06-14
00-36326,Ryan,Smith,Male,Christchurch,Colombo Street,2020-04-26,Operations,Logistics Coordinator,Bachelor,58000.0,Good,No,2002-02-07,2020-10-23
00-48185,Ava,Orr,Female,Auckland,Albany,2023-12-08,Marketing,Marketing Coordinator,Bachelor,75000.0,Satisfactory,No,1970-10-12,2024-06-05
00-93647,Brenda,Stewart,Female,Wellington,Porirua,2024-02-11,Operations,Inventory Specialist,Bachelor,0.0,Good,No,1971-07-07,2024-08-09
00-59036,Christopher,Hudson,Male,Auckland,Auckland City,2019-04-20,Customer Service,Customer Service Representative,Bachelor,62000.0,Excellent,No,1991-11-16,2019-10-17
00-25084,Paul,Holmes,Male,Wellington,Wellington City,2016-03-20,Sales,Sales Specialist,PhD,68000.0,Good,Yes,1995-05-09,2024-08-18
00-66302,Seth,Hyde,Male,Auckland,Manukau,2019-07-16,Operations,Inventory Specialist,Bachelor,69000.0,Good,Yes,1970-07-08,2020-01-12
00-70012,Susan,West,Female,Wellington,Lower Hutt,2022-11-25,Marketing,Content Creator,High School,64000.0,Satisfactory,No,1970-12-03,2023-10-25
00-32706,Megan,Taylor,Female,Auckland,Albany,2021-11-19,Sales,Sales Specialist,Bachelor,58000.0,Satisfactory,No,1993-02-22,2022-05-18
00-38905,Abigail,Murphy,Female,Auckland,Manukau,2018-10-27,HR,HR Coordinator,Bachelor,58000.0,Excellent,Yes,1994-03-05,2021-03-23
00-95678,Hemi,Stewart,Male,Wellington,Wellington City,2023-03-04,Sales,Sales Specialist,Master,81000.0,Good,Yes,1998-01-17,2023-08-31
00-88231,Liam,Hubbard,Male,Auckland,Albany,2020-06-15,Sales,Sales Specialist,Bachelor,94000.0,Good,No,1967-02-14,2020-12-12
00-28634,Brent,Hope,Male,Wellington,Porirua,2021-12-09,Customer Service,Customer Service Representative,Bachelor,73000.0,Satisfactory,No,1992-12-23,2022-06-07
00-18300,charles,Robb,Male,Auckland,Auckland City,2023-01-14,Marketing,SEO Specialist,High School,68000.0,Good,No,1964-11-21,2023-11-20
00-27290,Mark,O'Keefe,Male,Auckland,Albany,2024-02-27,Operations,Logistics Coordinator,Bachelor,65000.0,Satisfactory,Yes,1972-08-06,2024-08-25
00-68335,Amy,Wilton,Female,Wellington,Lower Hutt,2015-05-22,IT,Software Developer,Master,87000.0,Good,Yes,2000-03-19,2022-07-16
00-56030,Rosemary,Beard,Female,Auckland,Albany,2023-12-01,Sales,Sales Specialist,Master,63000.0,Good,No,1979-10-15,2024-05-29
00-89638,Hunter,Jones,Male,Auckland,Manukau,2018-09-22,Customer Service,Support Specialist,Bachelor,63000.0,Good,No,1971-02-17,2022-03-04
00-84498,Ava,Parker,Female,Wellington,Lower Hutt,2019-10-30,Operations,Logistics Coordinator,Bachelor,62000.0,Good,No,1982-10-16,2020-04-27
00-90746,Sophie,Higgins,Female,Wellington,Wellington City,2017-08-30,Customer Service,Support Specialist,Bachelor,67000.0,Satisfactory,No,1974-05-08,2022-08-12
00-17212,Timothy,Simonsen,Male,Christchurch,Colombo Street,2018-04-02,Marketing,Content Creator,Bachelor,60000.0,Good,No,2004-05-01,2021-09-20
00-85582,Zara,Jeffries,Female,Christchurch,Colombo Street,2022-11-11,Marketing,Marketing Manager,Master,104000.0,Good,Yes,1996-03-31,2023-05-10
00-14635,James,Gray,Male,Wellington,Lower Hutt,2021-03-11,Sales,Sales Representative,Bachelor,64000.0,Excellent,No,1975-03-16,2024-03-01
00-21322,Grant,Bush,Male,Auckland,Auckland City,2021-12-28,IT,Software Developer,Bachelor,95000.0,Satisfactory,No,1989-10-23,2022-06-26
00-96154,Nathan,Perry,Male,Auckland,Manukau,2019-10-13,Sales,SALES SPECIALIST,PhD,63000.0,Good,No,1984-11-01,2020-11-06
00-61688,Emma,Gledhill,Female,Auckland,Manukau,2016-11-01,Customer Service,Help Desk Technician,Bachelor,69000.0,Satisfactory,No,1972-08-15,2017-04-30
00-71086,Janet,Judd,Female,Auckland,New Lynn,2018-01-16,Sales,Sales Consultant,Bachelor,69000.0,Excellent,No,1989-10-09,2018-07-15
00-49169,Darryl,Gee,Male,Christchurch,Colombo Street,2018-11-14,Operations,Inventory Specialist,High School,56000.0,Satisfactory,No,1997-10-13,2019-05-13
00-19828,Harry,Aldridge,Male,Auckland,New Lynn,2016-11-14,Sales,Sales Specialist,PhD,82000.0,Good,No,1993-04-17,2021-10-28
00-29481,Dianne,Leslie,Female,Auckland,Auckland City,2016-01-10,Operations,Inventory Specialist,High School,60000.0,Satisfactory,No,1986-07-11,2024-11-28
00-84141,Jennifer,Morton,Female,Auckland,Auckland City,2020-04-18,Marketing,Marketing Coordinator,Bachelor,63000.0,Satisfactory,Yes,1986-06-04,2021-02-04
00-60911,William,Howell,Male,Christchurch,Colombo Street,2019-04-19,Operations,Logistics Coordinator,Bachelor,68000.0,Good,Yes,1968-12-30,2019-10-16
00-10089,Kelly,Phillips,Female,Auckland,Albany,2018-09-21,Operations,Logistics Coordinator,Bachelor,54000.0,Needs Improvement,No,1993-12-27,2020-05-22
00-73858,Lachlan,Orchard,Male,Wellington,Lower Hutt,2022-01-11,Operations,Inventory Specialist,High School,61000.0,Good,No,1988-02-28,2022-10-20
00-75035,William,Thomas,Male,Christchurch,Cathedral Square,2017-03-11,Operations,Operations Analyst,Bachelor,90000.0,Good,No,1994-12-21,2024-01-02
00-65004,Awhina,Field,Female,Wellington,Wellington City,2025-01-15,Sales,Sales Specialist,Bachelor,66000.0,Satisfactory,No,1998-07-26,2025-07-14
00-22203,Jayden,Mitchell,Male,Wellington,Porirua,2018-10-10,Operations,Operations Analyst,Bachelor,61000.0,Good,No,1990-06-05,2024-02-04
00-17144,Joanne,baldwin,Female,Wellington,Wellington City,2019-07-18,Operations,Inventory Specialist,Bachelor,63000.0,Satisfactory,No,1962-08-22,2022-12-01
00-59996,Steven,Thomas,Male,Auckland,Albany,2019-03-15,Sales,Sales Specialist,Bachelor,87000.0,Good,No,1993-03-01,2020-08-27
00-72236,Patrick,Russell,Male,Auckland,Auckland City,2021-01-01,Marketing,Content Creator,Bachelor,67000.0,Satisfactory,Yes,1975-11-20,2021-06-30
00-92211,Sally,Rowe,Female,Wellington,Lower Hutt,2017-09-24,Operations,Inventory Specialist,Bachelor,61000.0,Good,No,1997-02-08,2021-01-26
00-23845,Pauline,O'Connell,Female,Christchurch,  Colombo Street  ,2021-09-18,Marketing,Marketing Coordinator,Bachelor,57000.0,Good,No,2004-09-30,2023-04-11
00-58816,  Joanne  ,Ward,Female,Auckland,Manukau,2016-09-14,Operations,Inventory Specialist,Bachelor,61000.0,Good,No,1977-05-09,2018-03-11
00-30836,Max,Arnold,Male,Wellington,Lower Hutt,2016-09-14,Sales,Sales Representative,Bachelor,80000.0,Satisfactory,No,1977-05-16,2018-09-13
00-74066,Paul,Jefferies,Male,Auckland,Manukau,2021-04-27,Operations,Openations Analyst,Master,65000.0,Good,No,1978-05-25,2021-10-24
00-72140,Nathan,McCallum,Male,Auckland,Manukau,2024-05-06,Operations,Operations Analyst,Bachelor,0.0,Good,No,1999-06-08,2024-11-02
00-96816,Gabrielle,Jamieson,Female,Christchurch,Cathedral Square,2025-02-19,Customer Service,Help Desk Technician,High School,59000.0,Good,No,1994-11-09,2025-08-18
00-13336,Michelle,  McDonald  ,Female,Wellington,Porirua,2022-05-28,Operations,Inventory Specialist,Bachelor,0.0,Good,No,1969-02-02,2022-11-24
00-43902,Stuart,O'Donnell,Male,Auckland,Manukau,2023-08-28,Sales,Sales Consultant,PhD,77000.0,Satisfactory,No,1997-06-21,2024-02-24
00-35499,James,Wong,Male,Wellington,Wellington City,2020-11-19,Operations,Operations Analyst,Bachelor,84000.0,Satisfactory,No,1993-05-29,2023-01-13
00-32099,Felix,Smith,Male,Auckland,New Lynn,2021-06-16,Operations,Inventory Specialist,High School,55000.0,Satisfactory,No,1980-04-28,2023-06-26
00-55134,Manaia,Tait,Female,Auckland,New Lynn,2018-05-06,Sales,Sales Representative,Bachelor,78000.0,Satisfactory,Yes,1982-05-24,2018-11-02
00-27197,Jeremy,Francis,Male,Wellington,Lower Hutt,2017-03-24,Customer Service,Help Desk Technician,Bachelor,86000.0,Satisfactory,No,1985-11-30,2022-12-08
00-30070,Rochelle,carr,Female,Auckland,Albany,2017-11-06,Sales,SALES SPECIALIST,PhD,89000.0,Satisfactory,No,1976-01-19,2021-12-20
00-78569,Mitchell,Bush,Male,Wellington,Wellington City,2025-04-21,Customer Service,Help Desk Technician,Bachelor,87000.0,Satisfactory,No,1984-10-21,2025-10-18
00-40298,Michael,Pickering,Male,Auckland,  Manukau  ,2020-05-10,Sales,sales specialist,Master,,Excellent,No,2003-02-08,2020-11-06
00-54921,Vanessa,Scott,Female,Wellington,Wellington City,2017-04-02,Customer Service,Help Desk Technician,High School,81000.0,Good,No,1982-04-05,2023-08-27
00-57002,Diane,Joe,Female,Wellington,Lower Hutt,2022-03-19,Sales,Sales Representative,Bachelor,54000.0,Good,No,1984-02-08,2022-09-15
00-96732,Andrew,Moore,Male,Auckland,New Lynn,2023-07-04,HR,hr assistant,High School,65000.0,Satisfactory,Yes,1999-12-31,2023-12-31
00-40801,Richard,Watt,Male,Christchurch,Cathedral Square,2016-06-25,Customer Service,Support Specialist,High School,64000.0,Good,No,1988-03-11,2023-01-26
00-54676,Michael,Day,Male,Wellington,Lower Hutt,2019-03-17,Operations,Operations Analyst,Bachelor,87000.0,Good,No,2000-10-14,2022-02-13
00-31516,Jacob,O'Connell,Male,Wellington,Lower Hutt,2020-06-04,Operations,Inventory Specialist,High School,65000.0,Needs Improvement,No,1965-09-10,2020-12-01
00-75382,Michael,Jensen,Male,Wellington,Porirua,2015-01-03,Operations,Operations Analyst,Bachelor,73000.0,Satisfactory,No,1980-11-20,2018-12-10
00-54939,Shane,Rickard,Male,Auckland,Albany,2025-12-10,IT,System Administrator,Bachelor,103000.0,Satisfactory,No,1993-10-14,2026-06-08
00-81105,Joanna,Mitchell,Female,Christchurch,Cathedral Square,2022-03-10,Operations,Logistics Coordinator,Bachelor,63000.0,Good,No,1996-04-12,2022-09-06
00-99573,Nicola,Watkins,Female,Christchurch,Cathedral Square,2018-06-30,Customer Service,Customer Service Representative,Bachelor,65000.0,Satisfactory,No,1970-07-05,2022-03-10
00-82368,DAVID,Jones,Male,Wellington,Porirua,2016-11-25,Operations,Inventory Specialist,Bachelor,66000.0,Good,No,1996-11-30,2021-12-24
00-46583,Carol,Campbell,Female,Christchurch,Colombo Street,2021-06-30,Operations,Operations Analyst,Bachelor,68000.0,Good,No,1980-04-10,2024-07-16
